examples	issue_type	token_form	token_tags
"[{""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""49347527-d19d-4689-bff1-ba3e497e7b1f"", ""text"": ""ajo niwatece etadi digoida"", ""token_tag"": ""N$"", ""token_gloss"": ""canoa"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""watece""]}, {""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""69948fe6-81f6-4faa-a344-8f8c47486943"", ""text"": ""niwatece iwaGadi"", ""token_tag"": ""N$"", ""token_gloss"": ""canoa"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""watece""]}, {""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""b2e3ea43-0d68-46ee-9f33-938610cc8aec"", ""text"": ""niwatece etadi weiigi"", ""token_tag"": ""N$"", ""token_gloss"": ""canoa"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""watece""]}, {""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""1b99ecb9-5656-4c38-b60b-fbbe643708fb"", ""text"": ""ajo niwatece ipegitege weiigi"", ""token_tag"": ""N$"", ""token_gloss"": ""canoa"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""watece""]}, {""source_id"": ""hil-data"", ""source_file"": ""data/hil-data.json"", ""uid"": ""559ba85f-edfc-48dc-9bfb-0c3f8e5ad887"", ""text"": ""NaGajo lomigo Pedilo idei madi niwatece"", ""token_tag"": ""N$"", ""token_gloss"": ""canoa"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""watece""]}, {""source_id"": ""hil-data"", ""source_file"": ""data/hil-data.json"", ""uid"": ""92838eda-ef9b-4f05-a5eb-38a4709c0337"", ""text"": ""NaGajo lomigo niganigawanigi madi niwatece"", ""token_tag"": ""N$"", ""token_gloss"": ""canoa"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""watece""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""947061b4-7b73-4612-8aa8-0af0e04cbc85"", ""text"": ""niwatece iwaGadi noxilece lojetedi"", ""token_tag"": ""N$"", ""token_gloss"": ""canoa"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""watece""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""2c026af9-b8a1-4389-b658-00113b070dee"", ""text"": ""niwatece liwaGatena lodejedi etidi weiigi"", ""token_tag"": ""N"", ""token_gloss"": ""canoa"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""watece""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""e9806e26-701d-4f5f-9ca9-63216cccf3d0"", ""text"": ""naGajo lomiigo Pedro idei niwatece"", ""token_tag"": ""N"", ""token_gloss"": ""canoa"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""watece""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""2386b5b5-57d0-4a1f-86c2-73f67561744c"", ""text"": ""naGajo lomiigo nigaanigawaanigi manitaGa niwatece"", ""token_tag"": ""N"", ""token_gloss"": ""canoa"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""watece""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""4c41fdf6-0c48-4eb6-91f7-121c21f3e2a7"", ""text"": ""Ijo nigaanigawaanigi idei madi lomiigo niwatece"", ""token_tag"": ""N$"", ""token_gloss"": ""canoa"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""watece""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""235440ba-548e-4df6-8d9e-214cc8714f8f"", ""text"": ""niGijo nigaanigawaanigi manitaGa lomigo niwatece"", ""token_tag"": ""N"", ""token_gloss"": ""canoa"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""watece""]}]"	conflicting_token_tags_for_form	niwatece	"[""N"", ""N$""]"
"[{""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""e9d6dfb6-656d-44aa-ba17-86289fd72268"", ""text"": ""liGeladi idei nigotaGa"", ""token_tag"": ""N"", ""token_gloss"": ""cidade"", ""split_tags"": [""Ant"", ""cidade""], ""split_forms"": [""n"", ""gotaGa""]}, {""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""aad13f14-bd9a-462a-9a43-68ba69a81519"", ""text"": ""nigotaGa liGeladi ipegitegi weiigi ."", ""token_tag"": ""N"", ""token_gloss"": ""cidade"", ""split_tags"": [], ""split_forms"": []}, {""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""ef4d298a-643b-4c08-9bdd-f7c6b63ac9ec"", ""text"": ""liGeladi ipegitege niweiigi nigotaGa ."", ""token_tag"": ""N$"", ""token_gloss"": ""cidade"", ""split_tags"": [""""], ""split_forms"": [""""]}, {""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""8b1a9983-4dfd-49e8-9285-92c56c84b652"", ""text"": ""liGeladi ipegitegi niweiigi nigotaGa ."", ""token_tag"": ""N"", ""token_gloss"": ""cidade"", ""split_tags"": [""""], ""split_forms"": [""""]}, {""source_id"": ""hil-data"", ""source_file"": ""data/hil-data.json"", ""uid"": ""3a7e213b-323e-4694-bad9-47091f3533f5"", ""text"": ""Te ee nigotaGa"", ""token_tag"": ""N"", ""token_gloss"": ""cidade"", ""split_tags"": [""""], ""split_forms"": [""""]}, {""source_id"": ""hil-data"", ""source_file"": ""data/hil-data.json"", ""uid"": ""55fe3cf7-0293-48e6-aa78-44822f50347e"", ""text"": ""liGeladi ipegitege nakidi nigotaGa"", ""token_tag"": ""N"", ""token_gloss"": ""cidade"", ""split_tags"": [""""], ""split_forms"": [""""]}, {""source_id"": ""hil-data"", ""source_file"": ""data/hil-data.json"", ""uid"": ""c0441856-b259-4d76-a88e-33a7e211b208"", ""text"": ""liGeladi ipegitege nakidi nigotaGa"", ""token_tag"": ""N"", ""token_gloss"": ""cidade"", ""split_tags"": [""""], ""split_forms"": [""""]}, {""source_id"": ""hil-data"", ""source_file"": ""data/hil-data.json"", ""uid"": ""9527d53d-7184-4b08-8bb2-51b7fff1429d"", ""text"": ""nigotaGa liGeladi ipegitege akiidi"", ""token_tag"": ""N"", ""token_gloss"": ""cidade"", ""split_tags"": [""""], ""split_forms"": [""""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""86f5c128-e931-4443-90cc-2359748ed69f"", ""text"": ""Eyo nigotaGa"", ""token_tag"": ""N"", ""token_gloss"": ""cidade"", ""split_tags"": [], ""split_forms"": []}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""d021bede-064b-4fd5-bb33-6c7cd4279c1b"", ""text"": ""Eyo manitaGa nigotaGa"", ""token_tag"": ""N"", ""token_gloss"": ""cidade"", ""split_tags"": [], ""split_forms"": []}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e"", ""text"": ""ligeladi ipegitege niweiigi nigotaGa"", ""token_tag"": ""N$"", ""token_gloss"": ""cidade"", ""split_tags"": [""Ant"", ""n"", ""Sgv""], ""split_forms"": [""n"", ""gota"", ""Ga""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""ebff5ffa-8a9d-4f8b-9960-38f70b344c19"", ""text"": ""ligeladi ipegitegi niweiigi nigotaGa"", ""token_tag"": ""N$"", ""token_gloss"": ""cidade"", ""split_tags"": [""Ant"", ""n"", ""Sgv""], ""split_forms"": [""n"", ""gota"", ""Ga""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""81048a6f-e084-4b0a-965a-f41fb5c53ff7"", ""text"": ""nigotaGa liGeladi ipegitegi weiigi"", ""token_tag"": ""N$"", ""token_gloss"": ""cidade"", ""split_tags"": [""Ant"", ""n"", ""Sgv""], ""split_forms"": [""n"", ""gota"", ""Ga""]}]"	conflicting_token_tags_for_form	nigotaGa	"[""N"", ""N$""]"
"[{""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""55551636-8ed3-4545-8510-d8dbfd817a1a"", ""text"": ""ica niwigo libinienigi"", ""token_tag"": ""N$"", ""token_gloss"": ""fotografia"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""wigo""]}, {""source_id"": ""hil-data"", ""source_file"": ""data/hil-data.json"", ""uid"": ""79cb0e55-9c06-4cb1-91b3-2b5233e1678f"", ""text"": ""nigidiwa okokodi ligetedi midi niwigo libinienaGa"", ""token_tag"": ""N"", ""token_gloss"": ""fotografia"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""wigo""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""a2910ce3-a0d2-4eac-bcc3-2da15db88b90"", ""text"": ""ijo niwigo libinienigi ijowa nigetedi"", ""token_tag"": ""N$"", ""token_gloss"": null, ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""wigo""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""075356e6-f89c-4d83-b001-435d13b319dc"", ""text"": ""ijowa nigetedi niwigo libinienigipi"", ""token_tag"": ""N"", ""token_gloss"": null, ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""wigo""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""5739aca1-95fc-4584-9550-d7bd73c3c361"", ""text"": ""okokodi ligetedi midi niwigo libinienaGa ."", ""token_tag"": ""N$"", ""token_gloss"": ""espírito/fotografia"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""wigo""]}]"	conflicting_token_tags_for_form	niwigo	"[""N"", ""N$""]"
"[{""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""95a7d135-4be0-463d-b443-76cc5828fc89"", ""text"": ""ica nioladi lodawa libinienigi"", ""token_tag"": ""N$"", ""token_gloss"": ""esposa"", ""split_tags"": [], ""split_forms"": []}, {""source_id"": ""hil-data"", ""source_file"": ""data/hil-data.json"", ""uid"": ""3a27c7c6-ecd6-45c0-a71e-b4aa2a242a3d"", ""text"": ""NiGida lodajo lodawa aidei dineigi"", ""token_tag"": ""N"", ""token_gloss"": ""esposa"", ""split_tags"": [], ""split_forms"": []}]"	conflicting_token_tags_for_form	lodawa	"[""N"", ""N$""]"
"[{""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""a4d33655-fe74-4df2-8d5e-b3c88fba5fd1"", ""text"": ""iGeladi idei naigi me napioi"", ""token_tag"": ""N"", ""token_gloss"": ""sujo"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""apioi""]}, {""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""f081c545-c42b-463d-b57f-db87787f20e7"", ""text"": ""João liGeladi ane napioi"", ""token_tag"": ""N"", ""token_gloss"": ""sujo"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""apioi""]}, {""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""014fefb1-d5e3-48c8-9ac3-9e713a41407f"", ""text"": ""iGeladi ipegitegi naigi ane napioi"", ""token_tag"": ""N"", ""token_gloss"": ""sujeira"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""apioi""]}, {""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""bb8018ba-76b3-43f2-82ea-78b6009c1f90"", ""text"": ""iGeladi ipegitegi naigi me napioi"", ""token_tag"": ""N"", ""token_gloss"": ""sujeira"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""apioi""]}, {""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""c25b098d-6b0a-4416-a31d-6d7219685a63"", ""text"": ""João liGeladi napioi ."", ""token_tag"": ""N"", ""token_gloss"": ""sujeira"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""apioi""]}, {""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""4e0112b1-baf1-4a7a-bf9e-88fabbe1edc5"", ""text"": ""liGeladi João napioi ."", ""token_tag"": ""N$"", ""token_gloss"": ""sujeira"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""apioi""]}]"	conflicting_token_tags_for_form	napioi	"[""N"", ""N$""]"
"[{""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""7b810df7-6ed0-4027-b2fe-72c64e9ca1dc"", ""text"": ""iGeladi idei mijo naigi naGajo"", ""token_tag"": ""PRO$"", ""token_gloss"": ""dela"", ""split_tags"": [""Dem"", ""Gnr"", ""Ncl""], ""split_forms"": [""nG"", ""a"", ""jo""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""e9806e26-701d-4f5f-9ca9-63216cccf3d0"", ""text"": ""naGajo lomiigo Pedro idei niwatece"", ""token_tag"": ""D"", ""token_gloss"": ""ess(e|a)"", ""split_tags"": [""Dem"", ""Gnr"", ""Ncl""], ""split_forms"": [""nG"", ""a"", ""jo""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""2386b5b5-57d0-4a1f-86c2-73f67561744c"", ""text"": ""naGajo lomiigo nigaanigawaanigi manitaGa niwatece"", ""token_tag"": ""D"", ""token_gloss"": ""ess(e|a)"", ""split_tags"": [""Dem"", ""Gnr"", ""Ncl""], ""split_forms"": [""nG"", ""a"", ""jo""]}]"	conflicting_token_tags_for_form	naGajo	"[""D"", ""PRO$""]"
"[{""source_id"": ""ped-gramm"", ""source_file"": ""data/ped-gramm.json"", ""uid"": ""6d2a809e-0d32-4254-9489-f9e356e22493"", ""text"": ""nGida niwenigi daGaxa me dakake loojedi ."", ""token_tag"": ""N"", ""token_gloss"": ""comida"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""wenigi""]}, {""source_id"": ""hil-data"", ""source_file"": ""data/hil-data.json"", ""uid"": ""0ca977cd-2edf-45d9-b958-068648aebef9"", ""text"": ""NiGida niwenigi eliodi me dakake loojedi"", ""token_tag"": ""N$"", ""token_gloss"": ""comida"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""wenigi""]}, {""source_id"": ""van-data"", ""source_file"": ""data/van-data.json"", ""uid"": ""a1e15803-1e5e-481f-8137-a84beac6cbcc"", ""text"": ""niGida niwenigi daGaxa me dakake loojedi"", ""token_tag"": ""N$"", ""token_gloss"": ""comida"", ""split_tags"": [""Ant"", ""n""], ""split_forms"": [""n"", ""wenigi""]}]"	conflicting_token_tags_for_form	niwenigi	"[""N"", ""N$""]"
