source_id	source_tag	chunk_label	count
van-data	N$	IP-MAT[l=0]	74
ped-gramm	N$	IP-MAT[l=0]	72
hil-data	N$	IP-MAT[l=0]	50
van-data	D	IP-MAT[l=0]	48
hil-data	VB	IP-MAT[l=0]	45
ped-gramm	N	IP-MAT[l=0]	41
van-data	N	IP-MAT[l=0]	41
hil-data	D	IP-MAT[l=0]	39
van-data	VB	IP-MAT[l=0]	39
ped-gramm	N$	NP[l=1]	38
hil-data	N	IP-MAT[l=0]	37
ped-gramm	D	IP-MAT[l=0]	29
hil-data	D	NP[l=1]	25
ped-gramm	VB	IP-MAT[l=0]	24
hil-data	N	NP[l=1]	24
van-data	N	NP[l=1]	23
van-data	D	NP[l=1]	21
ped-gramm	N	NP[l=1]	19
hil-data	N$	NP[l=1]	19
van-data	N$	NP[l=1]	19
van-data	N$	NP-SBJ[l=1]	19
van-data	C	IP-MAT[l=0]	19
van-data	D	NP-SBJ[l=1]	19
van-data	N$	NP-PRD[l=1]	18
ped-gramm	D	NP[l=1]	17
hil-data	C	IP-MAT[l=0]	17
ped-gramm	VBAPL	IP-MAT[l=0]	16
van-data	C	CP-me[l=1]	16
ped-gramm	N$	NP-PRD[l=1]	14
hil-data	C	CP-me[l=1]	14
ped-gramm	N$	NP-SBJ[l=1]	13
ped-gramm	PUNC	IP-MAT[l=0]	13
hil-data	N$	NP-SBJ[l=1]	12
hil-data	N	NP[l=2]	12
ped-gramm	C	IP-MAT[l=0]	11
van-data	N	NP-SBJ[l=1]	11
van-data	N	NP[l=2]	11
ped-gramm	N	NP-APL[l=1]	10
ped-gramm	D	NP-SBJ[l=1]	10
hil-data	NEG	IP-MAT[l=0]	10
hil-data	PRO	IP-MAT[l=0]	10
hil-data	PRO	NP[l=1]	10
hil-data	VBAPL	IP-MAT[l=0]	10
van-data	N$	CP-me[l=1]	10
van-data	N$	IP-SUB[l=2]	10
van-data	N$	NP[l=3]	10
ped-gramm	NEG	IP-MAT[l=0]	9
hil-data	N$	NP-PRD[l=1]	9
van-data	PRO	IP-MAT[l=0]	9
van-data	NEG	IP-MAT[l=0]	9
hil-data	N	NP-SBJ[l=1]	8
hil-data	D	NP-SBJ[l=1]	8
hil-data	PUNC	IP-MAT[l=0]	8
van-data	Q	IP-MAT[l=0]	8
van-data	VBAPL	IP-MAT[l=0]	8
van-data	DAPL	IP-MAT[l=0]	7
van-data	DAPL	CP-me[l=1]	7
van-data	DAPL	IP-SUB[l=2]	7
van-data	DAPL	NP[l=3]	7
ped-gramm	N	NP-SBJ[l=1]	6
hil-data		IP-MAT[l=0]	6
hil-data	Q	IP-MAT[l=0]	6
hil-data	N$	CP-me[l=1]	6
hil-data	N$	IP-SUB[l=2]	6
hil-data	N$	NP[l=3]	6
hil-data	D	CP-me[l=1]	6
hil-data	D	IP-SUB[l=2]	6
hil-data	D	NP[l=3]	6
van-data	N$	NP[l=2]	6
van-data	D	CP-me[l=1]	6
van-data	D	IP-SUB[l=2]	6
van-data	D	NP[l=3]	6
van-data	N$	NP-APL[l=1]	6
ped-gramm	NPR	IP-MAT[l=0]	5
ped-gramm	N	NP[l=2]	5
ped-gramm	WPRO	IP-MAT[l=0]	5
ped-gramm	N	IP-SUB[l=3]	5
ped-gramm	N	NP[l=4]	5
ped-gramm	C	CP-me[l=1]	5
hil-data		NP[l=1]	5
hil-data	Q	CP-me[l=1]	5
hil-data	DAPL	IP-MAT[l=0]	5
van-data	PRO	NP[l=1]	5
ped-gramm	ADJ	IP-MAT[l=0]	4
ped-gramm	C	CP-me[l=2]	4
ped-gramm	WPRO	CP-REL[l=2]	4
ped-gramm	WPRO	WNP[l=3]	4
ped-gramm		IP-MAT[l=0]	4
ped-gramm		CP-REL[l=2]	4
ped-gramm		IP-SUB[l=3]	4
ped-gramm		NP-TRACE[l=4]	4
ped-gramm	N	IP-SUB[l=2]	4
ped-gramm	N	NP[l=3]	4
ped-gramm	PRO	IP-MAT[l=0]	4
ped-gramm	PRO	NP[l=1]	4
hil-data	WPRO	IP-MAT[l=0]	4
hil-data	WPRO	CP-REL[l=2]	4
hil-data	WPRO	WNP[l=3]	4
hil-data		CP-REL[l=2]	4
hil-data		IP-SUB[l=3]	4
hil-data		NP-TRACE[l=4]	4
hil-data	VB	CP-REL[l=2]	4
hil-data	VB	IP-SUB[l=3]	4
hil-data	NPR	IP-MAT[l=0]	4
hil-data	NPR	NP[l=2]	4
hil-data	VB	CP-me[l=1]	4
hil-data	VB	IP-SUB[l=2]	4
van-data	T	IP-MAT[l=0]	4
van-data	PRO	NP-SBJ[l=1]	4
ped-gramm	NPR	NP-SBJ[l=1]	3
ped-gramm	N$	NP[l=2]	3
ped-gramm	N$	NP-APL[l=1]	3
ped-gramm	WPRO	NP[l=1]	3
ped-gramm		NP[l=1]	3
ped-gramm	N	CP-REL[l=2]	3
ped-gramm	N	CP-me[l=1]	3
ped-gramm	C	CP-daGa[l=1]	3
hil-data	WPRO	NP[l=1]	3
hil-data	VB	NP[l=1]	3
hil-data	VBU	IP-MAT[l=0]	3
hil-data	NPR	NP[l=1]	3
hil-data	DAPL	CP-me[l=1]	3
hil-data	DAPL	IP-SUB[l=2]	3
hil-data	DAPL	NP[l=3]	3
hil-data	N$	NP-APL[l=1]	3
hil-data	N	NP-APL[l=1]	3
van-data	Q	CP-me[l=1]	3
van-data	VB	CP-me[l=1]	3
van-data	VB	IP-SUB[l=2]	3
van-data	NPR	IP-MAT[l=0]	3
van-data	NPR	NP[l=2]	3
van-data	N	CP-me[l=1]	3
van-data	N	IP-SUB[l=2]	3
van-data	N	NP[l=3]	3
van-data	Q	NP-PRD[l=1]	3
ped-gramm	T	IP-MAT[l=0]	2
ped-gramm	NPR	NP[l=1]	2
ped-gramm	NPR	NP[l=2]	2
ped-gramm	N	CP-me[l=2]	2
ped-gramm	D	CP-me[l=1]	2
ped-gramm	D	IP-SUB[l=2]	2
ped-gramm	D	NP[l=3]	2
ped-gramm	C	NP-APL[l=1]	2
ped-gramm	DAPL	IP-MAT[l=0]	2
ped-gramm	Q	IP-MAT[l=0]	2
ped-gramm	VBU	IP-MAT[l=0]	2
ped-gramm	N$	NP[l=3]	2
ped-gramm	N	NP-PRD[l=1]	2
ped-gramm	ADJ	NP-SBJ[l=1]	2
hil-data		NP-GEN[l=2]	2
hil-data	N	CP-me[l=1]	2
hil-data	N	IP-SUB[l=2]	2
hil-data	N	NP[l=3]	2
hil-data	C	NP[l=1]	2
hil-data	C	CP-me[l=2]	2
hil-data	DAPL	NP[l=1]	2
hil-data	DAPL	CP-me[l=2]	2
hil-data	DAPL	IP-SUB[l=3]	2
hil-data	DAPL	NP[l=4]	2
van-data	NPR	NP[l=1]	2
van-data	N	NP-PRD[l=1]	2
van-data	D	NP[l=2]	2
van-data	D	NP-PRD[l=1]	2
van-data	VB	NP[l=1]	2
van-data	VB	IP-SUB[l=3]	2
van-data		IP-MAT[l=0]	2
van-data		NP[l=1]	2
van-data	PUNC	IP-MAT[l=0]	2
van-data	NEG+D	CP-D[l=0]	2
van-data	C	CP-D[l=0]	2
van-data	VBAPL	CP-D[l=0]	2
van-data	VBAPL	IP-SUB[l=1]	2
van-data	N	NP-APL[l=1]	2
ped-gramm	D	NP[l=2]	1
ped-gramm	WPRO	WNP[l=1]	1
ped-gramm	C	NP[l=1]	1
ped-gramm	PRO$	IP-MAT[l=0]	1
ped-gramm	PRO$	CP-me[l=1]	1
ped-gramm	PRO$	IP-SUB[l=2]	1
ped-gramm	PRO$	NP[l=3]	1
ped-gramm	DAPL	NP-APL[l=1]	1
ped-gramm	DAPL	CP-me[l=2]	1
ped-gramm	DAPL	IP-SUB[l=3]	1
ped-gramm	DAPL	NP[l=4]	1
ped-gramm	N$	CP-daGa[l=1]	1
ped-gramm	N$	CP-me[l=2]	1
ped-gramm	N$	IP-SUB[l=3]	1
ped-gramm	N$	NP[l=4]	1
ped-gramm	N	CP-daGa[l=1]	1
ped-gramm	WPRO	NP-APL[l=1]	1
ped-gramm		NP-APL[l=1]	1
ped-gramm	Q	CP-me[l=1]	1
ped-gramm	VBU	CP-me[l=1]	1
ped-gramm	VBU	IP-SUB[l=2]	1
ped-gramm	N$	CP-me[l=1]	1
ped-gramm	N$	IP-SUB[l=2]	1
ped-gramm	N$	IP-MAT[l=1]	1
ped-gramm	VB	IP-MAT[l=1]	1
ped-gramm	CONJ	IP-MAT[l=0]	1
ped-gramm	CONJ	CONJP[l=1]	1
ped-gramm	NEG	CONJP[l=1]	1
ped-gramm	NEG	IP-MAT[l=2]	1
ped-gramm	VBU	CONJP[l=1]	1
ped-gramm	VBU	IP-MAT[l=2]	1
ped-gramm	N$	CONJP[l=1]	1
ped-gramm	N$	IP-MAT[l=2]	1
ped-gramm	DAPL	CP-me[l=1]	1
ped-gramm	DAPL	IP-SUB[l=2]	1
ped-gramm	DAPL	NP[l=3]	1
ped-gramm	Q	NP-PRD[l=1]	1
ped-gramm	VB	NP[l=1]	1
ped-gramm	VB	CP-REL[l=2]	1
ped-gramm	VB	IP-SUB[l=3]	1
ped-gramm	ADJ	NP[l=1]	1
hil-data	WPRO	NP-SBJ[l=1]	1
hil-data		NP-SBJ[l=1]	1
hil-data	VB	NP-SBJ[l=1]	1
hil-data	CNEG+VBU	IP-MAT[l=0]	1
hil-data	Q	CP-me-me[l=1]	1
hil-data	C	CP-me-me[l=1]	1
hil-data	N$	CP-me-me[l=1]	1
hil-data	N$	NP[l=2]	1
hil-data	VBU	CP-me[l=1]	1
hil-data	VBU	IP-SUB[l=2]	1
hil-data	N$	CP-REL[l=2]	1
hil-data	N$	IP-SUB[l=3]	1
hil-data	N$	NP[l=4]	1
hil-data	N	NP[l=4]	1
hil-data	NPR	NP-SBJ[l=1]	1
van-data	VB	IP-ADV[l=1]	1
van-data	N$	IP-ADV[l=1]	1
van-data	Q	CP-me-me[l=1]	1
van-data	C	CP-me-me[l=1]	1
van-data	N$	CP-me-me[l=1]	1
van-data	N	NP[l=4]	1
van-data	ADV	IP-MAT[l=0]	1
van-data	ADV	ADVP[l=1]	1
van-data	C	NP[l=1]	1
van-data	C	CP-me[l=2]	1
van-data	VB	CP-me[l=2]	1
van-data	WPRO	IP-MAT[l=0]	1
van-data	WPRO	NP[l=1]	1
van-data	WPRO	CP-REL[l=2]	1
van-data	WPRO	WNP[l=3]	1
van-data		CP-REL[l=2]	1
van-data		IP-SUB[l=3]	1
van-data		NP-TRACE[l=4]	1
van-data	VB	CP-REL[l=2]	1
van-data	VBU	IP-MAT[l=0]	1
van-data		NP-GEN[l=2]	1
van-data	NEG+D	IP-MAT[l=0]	1
van-data	NEG	CP-me[l=1]	1
van-data	NEG	IP-SUB[l=2]	1
van-data	ADJ	IP-MAT[l=0]	1
van-data	EV	IP-MAT[l=0]	1
van-data	Q	NP-SBJ[l=1]	1
van-data	NPR	NP-SBJ[l=1]	1
